"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	0	4592	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	0	4480	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	0	4527	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	0	4112	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	0	3994	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	0	1820	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	0	1746	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2000"	"2000"	"Female"	"F"	0	1866	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2000"	"2000"	"Male"	"M"	0	1795	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2001"	"2001"	"Female"	"F"	0	1947	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2002"	"2002"	"Female"	"F"	0	2053	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2002"	"2002"	"Male"	"M"	0	2079	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2003"	"2003"	"Female"	"F"	0	2195	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2003"	"2003"	"Male"	"M"	0	2188	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2004"	"2004"	"Female"	"F"	0	2286	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2004"	"2004"	"Male"	"M"	0	2310	Unreliable	0.0000%
	"Coconino County, AZ"	"04005"	"60-64 years "	"60-64"	"2005"	"2005"	"Female"	"F"	0	2459	Unreliable	0.0000%
